MI TEAM
No	Player	Acquisition	Type	Role	Price
20	Mangesh Yadav	Auction	Indian (uncapped)	All-rounder	5.20 crore
21	Satvik Deswal	Auction	Indian (uncapped)	All-rounder	30 lakh
22	Jordan Cox	Auction	Overseas (capped)	Batter	75 lakh
23	Kanishk Chouhan	Auction	Indian (uncapped)	All-rounder	30 lakh
24	Vihaan Malhotra	Auction	Indian (uncapped)	All-rounder	30 lakh
25	Vicky Ostwal	Auction	Indian (uncapped)	All-rounder	30 lakh

RR TEAM
1	Shubham Dubey	Retained	Indian (uncapped)	Batter	-
2	Vaibhav Suryavanshi	Retained	Indian (uncapped)	Batter	-
3	Lhuan-dre Pretorius	Retained	Overseas (capped)	Batter	-
4	Shimron Hetmyer	Retained	Overseas (capped)	Batter	-
5	Yashasvi Jaiswal	Retained	Indian (capped)	Batter	-
6	Dhruv Jurel	Retained	Indian (capped)	Wicketkeeper	-
7	Riyan Parag	Retained	Indian (capped)	Batter	-
8	Yudhvir Singh Charak	Retained	Indian (uncapped)	All-rounder	-
9	Jofra Archer	Retained	Overseas (capped)	Bowler	-
10	Tushar Deshpande	Retained	Indian (capped)	Bowler	-
11	Sandeep Sharma	Retained	Indian (uncapped)	Bowler	-
12	Kwena Maphaka	Retained	Overseas (capped)	Bowler	-
13	Nandre Burger	Retained	Overseas (capped)	Bowler	-
14	Ravindra Jadeja	Trade	Indian (capped)	All-rounder	-
15	Sam Curran	Trade	Overseas (capped)	All-rounder	-
16	Donovan Ferreira	Trade	Overseas (capped)	Wicketkeeper	-
17	Ravi Bishnoi	Auction	Indian (capped)	Bowler	7.20 crore
18	Sushant Mishra	Auction	Indian (uncapped)	Bowler	90 lakh
19	Vignesh Puthur	Auction	Indian (uncapped)	Bowler	30 lakh
20	Yash Raj Punja	Auction	Indian (uncapped)	Bowler	30 lakh
21	Ravi Singh	Auction	Indian (uncapped)	Wicketkeeper	95 lakh
22	Brijesh Sharma	Auction	Indian (uncapped)	Bowler	30 lakh
23	Aman Rao	Auction	Indian (uncapped)	Batter	30 lakh
24	Adam Milne	Auction	Overseas (capped)	Bowler	2.40 crore
25	Kuldeep Sen	Auction	Indian (capped)	Bowler	75 lakh

GT TEAM

1	Shubman Gill	Retained	Indian (capped)	Batter	-
2	Sai Sudharsan	Retained	Indian (capped)	Batter	-
3	Kumar Kushagra	Retained	Indian (uncapped)	Wicketkeeper	-
4	Anuj Rawat	Retained	Indian (uncapped)	Wicketkeeper	-
5	Jos Buttler	Retained	Overseas (capped)	Wicketkeeper	-
6	Nishant Sindhu	Retained	Indian (uncapped)	All-rounder	-
7	Glenn Phillips	Retained	Overseas (capped)	All-rounder	-
8	Washington Sundar	Retained	Indian (capped)	All-rounder	-
9	Arshad Khan	Retained	Indian (uncapped)	Bowler	-
10	Shahrukh Khan	Retained	Indian (uncapped)	Batter	-
11	Rahul Tewatia	Retained	Indian (uncapped)	All-rounder	-
12	Kagiso Rabada	Retained	Overseas (capped)	Bowler	-
13	Mohammed Siraj	Retained	Indian (capped)	Bowler	-
14	Prasidh Krishna	Retained	Indian (capped)	Bowler	-
15	Ishant Sharma	Retained	Indian (capped)	Bowler	-
16	Gurnoor Singh Brar	Retained	Indian (uncapped)	Bowler	-
17	Rashid Khan	Retained	Overseas (capped)	Bowler	-
18	Manav Suthar	Retained	Indian (uncapped)	Bowler	-
19	Sai Kishore	Retained	Indian (capped)	Bowler	-
20	Jayant Yadav	Retained	Indian (capped)	Bowler	-
21	Ashok Sharma	Auction	Indian (uncapped)	Bowler	90 lakh
22	Jason Holder	Auction	Overseas (capped)	All-rounder	7.00 crore
23	Tom Banton	Auction	Overseas (capped)	Batter	2.00 crore
24	Luke Wood	Auction	Overseas (capped)	Bowler	75 lakh
25	Prithviraj Yarra	Auction	Indian (uncapped)	Bowler	30 lakh

PBKS TEAM
1	Shreyas Iyer	Retained	Indian (capped)	Batter	-
2	Nehal Wadhera	Retained	Indian (uncapped)	Batter	-
3	Vishnu Vinod	Retained	Indian (uncapped)	Wicketkeeper	-
4	Harnoor Pannu	Retained	Indian (uncapped)	Batter	-
5	Pyla Avinash	Retained	Indian (uncapped)	Batter	-
6	Prabhsimran Singh	Retained	Indian (uncapped)	Wicketkeeper	-
7	Shashank Singh	Retained	Indian (uncapped)	Batter	-
8	Marcus Stoinis	Retained	Overseas (capped)	All-rounder	-
9	Harpreet Brar	Retained	Indian (uncapped)	All-rounder	-
10	Marco Jansen	Retained	Overseas (capped)	All-rounder	-
11	Azmatullah Omarzai	Retained	Overseas (capped)	All-rounder	-
12	Priyansh Arya	Retained	Indian (uncapped)	All-rounder	-
13	Musheer Khan	Retained	Indian (uncapped)	All-rounder	-
14	Suryansh Shedge	Retained	Indian (uncapped)	All-rounder	-
15	Mitch Owen	Retained	Overseas (capped)	All-rounder	-
16	Arshdeep Singh	Retained	Indian (capped)	Bowler	-
17	Yuzvendra Chahal	Retained	Indian (capped)	Bowler	-
18	Vyshak Vijaykumar	Retained	Indian (uncapped)	Bowler	-
19	Yash Thakur	Retained	Indian (uncapped)	Bowler	-
20	Xavier Bartlett	Retained	Overseas (capped)	Bowler	-
21	Lockie Ferguson	Retained	Overseas (capped)	Bowler	-
22	Cooper Connolly	Auction	Overseas (capped)	All-rounder	3.00 crore
23	Ben Dwarshuis	Auction	Overseas (capped)	All-rounder	4.40 crore
24	Vishal Nishad	Auction	Indian (uncapped)	Bowler	30 lakh
25	Pravin Dubey	Auction	Indian (uncapped)	Bowler	30 lakh

DC TEAM

1	KL Rahul	Retained	Indian (capped)	Wicketkeeper	-
2	Karun Nair	Retained	Indian (capped)	Batter	-
3	Abishek Porel	Retained	Indian (uncapped)	Wicketkeeper	-
4	Tristan Stubbs	Retained	Overseas (capped)	Batter	-
5	Axar Patel	Retained	Indian (capped)	All-rounder	-
6	Sameer Rizvi	Retained	Indian (uncapped)	Batter	-
7	Ashutosh Sharma	Retained	Indian (uncapped)	Batter	-
8	Vipraj Nigam	Retained	Indian (uncapped)	All-rounder	-
9	Ajay Mandal	Retained	Indian (uncapped)	All-rounder	-
10	Tripurana Vijay	Retained	Indian (uncapped)	All-rounder	-
11	Madhav Tiwari	Retained	Indian (uncapped)	All-rounder	-
12	Mitchell Starc	Retained	Overseas (capped)	Bowler	-
13	T. Natarajan	Retained	Indian (capped)	Bowler	-
14	Mukesh Kumar	Retained	Indian (capped)	Bowler	-
15	Dushmantha Chameera	Retained	Overseas (capped)	Bowler	-
16	Kuldeep Yadav	Retained	Indian (capped)	Bowler	-
17	Nitish Rana	Trade	Indian (capped)	Batter	-
18	Auqib Dar	Auction	Indian (uncapped)	All-rounder	8.40 crore
19	Ben Duckett	Auction	Overseas (capped)	Wicketkeeper	2.00 crore
20	David Miller	Auction	Overseas (capped)	Batter	2.00 crore
21	Pathum Nissanka	Auction	Overseas (capped)	Batter	4.00 crore
22	Lungi Ngidi	Auction	Overseas (capped)	Bowler	2.00 crore
23	Sahil Parakh	Auction	Indian (uncapped)	Batter	30 lakh
24	Prithvi Shaw	Auction	Indian (capped)	Batter	75 lakh
25	Kyle Jamieson	Auction	Overseas (capped)	Bowler	2.00 crore

KKR TEAM

1	Ajinkya Rahane	Retained	Indian (capped)	Batter	-
2	Rinku Singh	Retained	Indian (capped)	Batter	-
3	Angkrish Raghuvanshi	Retained	Indian (uncapped)	Batter	-
4	Manish Pandey	Retained	Indian (capped)	Batter	-
5	Rovman Powell	Retained	Overseas (capped)	All-rounder	-
6	Anukul Roy	Retained	Indian (uncapped)	All-rounder	-
7	Ramandeep Singh	Retained	Indian (capped)	Batter	-
8	Vaibhav Arora	Retained	Indian (uncapped)	Bowler	-
9	Sunil Narine	Retained	Overseas (capped)	All-rounder	-
10	Varun Chakaravarthy	Retained	Indian (capped)	Bowler	-
11	Harshit Rana	Retained	Indian (capped)	Bowler	-
12	Umran Malik	Retained	Indian (capped)	Bowler	-
13	Cameron Green	Auction	Overseas (capped)	All-rounder	25.20 crore
14	Matheesha Pathirana	Auction	Overseas (capped)	Bowler	18.00 crore
15	Finn Allen	Auction	Overseas (capped)	Wicketkeeper	2.00 crore
16	Tejasvi Singh	Auction	Indian (uncapped)	Wicketkeeper	3.00 crore
17	Prashant Solanki	Auction	Indian (uncapped)	Bowler	30 lakh
18	Kartik Tyagi	Auction	Indian (uncapped)	Bowler	30 lakh
19	Rahul Tripathi	Auction	Indian (capped)	Batter	75 lakh
20	Tim Seifert	Auction	Overseas (capped)	Wicketkeeper	1.50 crore
21	Sarthak Ranjan	Auction	Indian (uncapped)	All-rounder	30 lakh
22	Daksh Kamra	Auction	Indian (uncapped)	All-rounder	30 lakh
23	Akash Deep	Auction	Indian (capped)	Bowler	1.00 crore
24	Rachin Ravindra	Auction	Overseas (capped)	All-rounder	2.00 crore

CSK TEAM
1	Ruturaj Gaikwad	Retained	Indian (capped)	Batter	-
2	MS Dhoni	Retained	Indian (uncapped)	Wicketkeeper	-
